"번호","종별/선별","영문","구 간","영문구간","보   통   역","배치간이역","무배치간이역","조  차  장","신  호  장","신  호  소","여객키로","화물키로","철도키로"
"1","경부고속선","Gyeongbugosok","서  울~부  산","Seoul~Busan","9","-","-","-","-","-","398.2","-","398.2"
"2","호남고속선","Honamgosok","오송~광주송정","Osong~GwangjuSongjeong","4","-","-","-","-","-","183.8","-","183.8"
"3","경 부 선","Gyeongbu","서  울~부  산","Seoul~Busan","61","-","21","1","3","1","441.7","439.9","441.7"
"4","오 송 선","Osong","서  창~오  송","Seochang~Osong","-","-","-","-","-","-","4.6","4.6","4.6"
"5","경 인 선","Gyeongin","구  로~인  천","Guro~Incheon","13","-","7","-","-","-","27","28.3","27"
"6","구로삼각선","Guro Samgak","구로(경부선)~구로(경인선)","Guro~Guro","-","-","-","-","-","-","-","1.2","1.2"
"7","구로기지선","Gurogiji","구  로~기  지","Guro∼Giji","-","-","-","-","-","-","-","-","1.4"
"8","용산삼각선","Yongsan Samgak","용산(경부선)~용산(경원선)","Yongsan~Yongsan","-","-","-","-","-","-","-","0.5","0.5"
"9","부강화물선","Buganghwamul","부강 ~ 부강화물","Bugang~Buganghwamul","-","-","1","-","-","-","-","2.9","2.9"
"10","평내기지선","Peongnaegiji","평내호평~기지","Peongnaehopeong~Giji","-","-","-","-","-","-","-","-","2.5"
"11","신동화물선","Sindonghwamul","신동 ~ 신동화물","Sindong~Sindonghwamul","-","-","1","-","-","-","-","4.7","4.7"
"12","시흥기지선","Siheunggiji","오이도~시흥기지","Siheung∼Giji","-","-","-","-","-","-","-","-","2"
"13","남부화물기지선","Nambuhwamul Giji","의 왕 ∼ 오 봉","Uiwang∼Obong","1","-","-","-","-","-","-","3","3"
"14","수 인 선","Suin","수    원~한대앞","Suwon~Handaeap","1","-","2","-","-","-","20.2","-","20.2"
"14","수인선","Suin","오이도~송도","Oido~Songdo","3","-","6","-","-","-","20.5","-","20.5"
"15","병점기지선","Byeongjeomgiji","병  점 ∼ 서 동 탄","Byeongjeom∼Seodongtan","1","-","-","-","-","-","2.2","-","2.2"
"16","안 산 선","Ansan","금    정~오이도","Geumjeong~Oido","5","-","8","-","-","-","26","26","26"
"17","장 항 선","Janghang","천  안~익  산","Cheonan~Iksan","17","-","11","-","-","-","154.4","154.4","154.4"
"18","천안직결선","Cheonan","두  정~천  안","Dujong~Cheonan","-","-","-","-","-","-","-","-","3.1"
"19","부산신항선","Busansinhang","진례~부산신항","Jinye~Busansinhang","1","-","1","-","-","-","-","21.3","21.3"
"20","충 북 선","Chungbuk","조치원~봉    양","Jochiwon~Bongyang","8","-","8","-","-","-","115","115","115"
"21","대 전 선","Daejeon","대전~서대전","Daejeon~Seodaejeon","-","-","-","-","-","-","5.7","5.7","5.7"
"22","경 북 선","Gyeongbuk","김  천~영  주","Gimcheon~Yeongju","4","-","6","-","-","-","115","115","115"
"23","문 경 선","Mungyeong","점  촌~문  경","Jeomchon~Mungyeong","-","-","2","-","-","1","22.3","22.3","22.3"
"24","대 불 선","Daebul","일   로~대   불","Illo~Daebu","-","-","1","-","-","-","-","12","12"
"25","대 구 선","Daegu","가   천~영    천","Gacheon~Yeongcheon","2","-","3","-","-","-","29","29","29"
"26","가 야 선","Gaya","사  상~범  일","Sasang~Beomil","1","-","-","-","-","-","8.3","8.3","8.3"
"27","미 전 선","Mijeon","미    전~낙동강","Mijeon~Nakdonggang","-","-","-","-","-","-","1.6","1.6","1.6"
"28","경 의 선","Gyeongui","서  울~도라산","Seoul~Dorasan","12","-","11","-","-","-","56","56","56"
"29","서울교외선","Seoul-Gyooe","능    곡~의정부","Neunggok~Uijeongbu","-","-","7","-","-","-","31.8","31.8","31.8"
"30","용산선","Yongsan","용  산~가  좌","Yongsan~Gajwa","2","-","2","-","-","-","7","-","7"
