번호,한글,영어,한자(번체),주소
1,가수원,Gasuwon,佳水院,대전 서구 가수원동 547-1
2,가야,Gaya,伽 倻,부산 부산진구 백양대로 91
3,각계,Gakgye,覺 溪,충북 영동군 심천면 각계리
4,감곡,Gamgok,甘 谷,전북 정읍시 감곡면 유정리 196-1
5,강경,Ganggyeong,江 景,충남 논산시 강경읍 대흥리 32
6,강릉,Gangneung,江 陵,강원 강릉시 교2동 118
7,개운,Gaeun,開 雲,전남 순천시 서면 구만리450-2
8,개정,Gaejeong,開 井,전북 군산시 개정면 아동리 
9,개태사,Gaetaesa,開泰寺,충남 논산시 연산면 천호리 304
10,개포,Gaepo,開 浦,경북 예천군 개포면 방터길 7-11
11,거촌,Geochon,巨 村,경북 봉화군 봉성면 도장밭길 44-41
12,건천,Geoncheon,乾 川,경북 경주시 건천읍 내서로 1038-18
13,경산,Gyeongsan,慶 山,경북 경산시 중앙로 1(사정동)
14,경주,Gyeongju,慶 州,경북 경주시 원화로 266
15,경화,Gyeonghwa,慶 和,경남 창원시 진해구 경화대로 649
16,계룡,Gyeryong,鷄 龍,충남 논산시 두마면 두계리 136-4
17,고막원,Gomagwon,古幕院,전남 나주시 다시면 송촌리 산 21-3
18,고모,Gomo,顧 母,대구시 수성구 고모로 208
19,고사리,Gosa-ri,古士里,강원 삼척시 늑구2길 68(도계읍)
20,고한,Gohan,古 汗,강원도 정선군 고한읍 고한19리 99-1
21,곡성,Gokseong,谷 城,전남 곡성군 곡성로 920
22,공전,Gongjeon,公 田,충북 제천시 봉양읍 공전3리 428
23,공주,Gongju,公 州,충청남도 공주시 이인면 신영리 167-1
24,광곡,Gwanggok,廣 谷,보성군 노동면 광곡리 210-2번지
25,광명,Gwangmyeong,光 明,경기도 광명시 광명역로 21
26,광주,Gwangju,光 州,광주 북구 중흥동 611
27,광주송정,Gwangjusongjeong,光州松汀,광주 광산구 송정2동 1003-1
28,광천,Gwangcheon,廣 川,충남 홍성군 광천읍 신진리 539
29,괴목,Goemok,槐 木,전남 순천시 황전면 괴목리213-16
30,구례구,Guryegu,求禮口,전남 순천시 섬진강로 217
31,구룡,Guryong,九 龍,순천시 별량면 구룡리85
32,구미,Gumi,龜 尾,경북 구미시 중앙로 76
33,구절리,Gujeol-ri,九切里,강원도 정선군 북면 구절1리 309-3
34,구포,Gupo,龜 浦,부산 북구 구포만세길 82
35,구학,Guhak,九 鶴,충북 제천시 봉양읍 구학리 43
36,군북,Gunbuk,郡 北,경남 함안군 군북면 의산삼일로 1992
37,군산,Gunsan,群 山,전북 군산시 대흥동
38,극락강,Geungnakgang,極樂江,광주직할시 광산구 신가동 212-2번지
39,금강,Geumgang,琴 江,대구광역시 동구 금강로 153
40,금지,Geumji,金 池,전북 남원시 금지면 택내리 81-1
41,금호,Geumho,琴 湖,경북 영천시 금호읍 금호역길 40-6
42,김제,Gimje,金 堤,전북 김제시 신풍동 13
43,김천,Gimcheon,金 泉,경북 김천시 김천로 111
44,김천(구미),Gimcheon(Gumi),金泉(龜尾),경북 김천시 남면 혁신 1로 51
45,나전,Najeon,羅 田,강원도 정선군 북평면 북평6리 350-1
46,나주,Naju,羅 州,전남 나주시 송월동 262-2
47,낙동강,Nakdonggang,洛東江,경남 밀양시 삼랑진읍 삼랑진로 119
48,남성현,Namseonghyeon,南省峴,경북 청도군 화양읍 다로길 39
49,남원,Namwon,南 原,전라북도 남원시 교룡로 71
50,남창,Namchang,南 倉,울산 울주군 온양읍 남창역길 40
51,남창원,Namchangwon,南昌原,경남 창원시 성산구 완암로 1
52,남평,Nampyeong,南 平,전남 나주시 남평읍 광촌리 470
53,남포,Nampo,藍 浦,충남 보령시 남포면 봉덕리 159-1
54,내수,Naesu,內 秀,충북 청원군 내수읍 내수리 45-1
55,노령,Noryeong,蘆 嶺,전북 정읍시 입안면 등천리 165
56,노안,Noan,老 安,전남 나주시 노안면 장동리78-1
57,논산,Nonsan,論 山,충남 논산시 반월동 33
58,능주,Neungju,綾 州,전남 화순군 능주면 관영리 230 
59,다시,Dasi,多 侍,전남 나주시 다시면 영동리 421
60,단성,Danseong,丹 城,충북 단양군 단성면 북하리 210
61,단양,Danyang,丹 陽,충북 단양군 단양읍 상진리 산1
62,단촌,Danchon,丹 村,경북 의성군 단촌면 장터길 29-6
63,달천,Dalcheon,達 川,충북 충주시 이류면 만정리 25
64,대광리,Daegwang-ri,大光里,경기도 연천군 신서면 연신로 1156 
65,대구,Daegu,大 邱,대구 북구 태평로 161
66,대신,Daesin,大 新,경북 김천시 아포읍 대신길 70-14
67,대야,Daeya,大 野,전북 군산시 대야면 지경리 699
68,대전,Daejeon,大 田,대전 동구 정동 1
69,대정,Daejeong,大 井,경기 고양시 덕양구 대장동 
70,대천,Daecheon,大 川,충남 보령시 내항동 336-2
71,덕하,Deokha,德 下,울산 울주군 청량면 덕하로 269-5
72,도고온천,Dogooncheon,道 高 溫 泉,충남 아산시 도고면 시전리364-2
73,도라산,Dorasan,都羅山,경기도 파주시 장당면 노상리 555
74,동대구,Dongdaegu,東大邱,대구 동구 동대구로 550(신암동)
75,동백산,Dongbaeksan,東栢山,강원 태백시 동태백로 984
76,동운,Dongun,東 雲,전남 순천시 서면 동산리 483-5
77,동점,Dongjeom,銅 店,강원 태백시 태백로 2382
78,동화,Donghwa,桐華,강원도 원주시 문막읍 보통로 221
79,득량,Deungnyang,得 粮,전남 보성군 역전길 28
80,마사,Masa,麻仕,경북 안동시 북후면 산약길 476-17
81,마산,Masan,馬山,경남 창원시 마산회원구 마산역광장로 18
82,마차리,Macha-ri,馬次里,강원 삼척시 신기면 마차길 3
83,망상,Mangsang,望 祥,강원 동해시 동해대로6180(망상동)
84,매곡,Maegok,梅谷,경기도 양평군 양동면 매월길 257
85,명봉,Myeongbong,鳴 鳳,전남 보성군 노동면 명봉리93
86,모량,Moryang,牟梁,경북 경주시 건천읍 내서로 1424-21
87,모화,Mohwa,毛 火,경북 경주시 외동읍 산업로 1882
88,목포,Mokpo,木 浦,전남 목포시 호남동 1-1
89,목행,Mokhaeng,牧 杏,충북 충주시 목행동 170
90,몽탄,Mongtan,夢 灘,전남 무안군 몽탄면 사천리 34 
91,무안,Muan,務 安,전남 무안군 몽탄면 사창리 658
92,묵호,Mukho,墨 湖,강원 동해시 해안로 520
93,문경,Mungyeong,聞 慶,경북 문경시 하2리 291 
94,문곡,Mungok,文 曲,강원 태백시 상장로 61(황지동)
95,물금,Mulgeum,勿禁,경남 양산시 물금읍 황산로 347
96,미로,Miro,未 老,강원 삼척시 미로면 강원남부로3990
97,민둥산,Mindungsan,민둥산,강원도 정선군 남면 무릉4리 617-2
98,밀양,Miryang,密 陽,경남 밀양시 중앙로 62
99,반곡,Bangok,盤谷,강원 원주시 반곡동 154
100,반성,Banseong,班 城,경남 진주시 일반성면 일사로 787
101,백마고지,Baengmagoji,白馬高地,강원도 철원군 철원읍 평화로 3591
102,백산,Baeksan,栢 山,강원 태백시 동태백로 840
103,백양사,Baegyangsa,白羊寺,전남 장성군 북이면 사거리 587-1
104,백원,Baegwon,白 元,경북 상주시 사벌면 북상주로 620
105,벌교,Beolgyo,筏 橋,전남 보성군 채동선로 228
106,법전,Beopjeon,法 田,경북 봉화군 법전면 파인토피아로 2434
107,벽제,Byeokje,碧 蹄,경기 고양시 대자동 산139
108,별어곡,Byeoreogok,別於谷,강원 정선군 남면 문곡리 107
109,보성,Boseong,寶 城,전남 보성군 현충로 90
110,보천,Bocheon,甫 川,충북 음성군 원남면 마송리 717
111,봉덕,Bongdeok,鳳 德,순천시 황전면 봉덕리 55-2
112,봉림,Bongnim,鳳林,경북 군위군 산성면 갑티로 79
113,봉성,Bongseong,鳳 城,경북 봉화군 봉성면 옥마로 173
114,봉양,Bongyang,鳳陽,충북 제천시 봉양면 장평리 799
115,봉정,Bongjeong,鳳 亭,경북 영천시 북안면 관황길 22
116,봉천,Bongcheon,鳳 泉,전북 임실군 오수면 봉천리 69-19
117,봉화,Bonghwa,奉 化,경북 봉화군 봉화읍 해저리 90-1
118,부산,Busan,釜 山,부산 동구 초량3동 1187-1 
119,부용,Buyong,芙 蓉,전북 김제시 백구면 월봉리 624
120,부전,Bujeon,釜 田,부산 부산진구 부전로 181
121,부조,Bujo,扶 助,경북 경주시 강동면 강동로 65-3
122,부황,Buhwang,夫 皇,충남 논산시 부적면 부황리 2구14
123,북영천,Bugyeongcheon,北永川,경북 영천시 장수로 61 (화룡동)
124,북천,Bukcheon,北 川,경남 하동군 북천면 경서대로 2418-6
125,분천,Buncheon,汾 川,경북 봉화군 소천면 분천길 49
126,불국사,Bulguksa,佛國寺,경북 경주시 산업로 3043-8
127,사곡,Sagok,沙 谷,경북 구미시 상사서로 173-16
128,사방,Sabang,士 方,경북 경주시 안강읍 안현로 886-3
129,사북,Sabuk,舍 北,강원도 정선군 사북읍 사북3리 367-3
130,사상,Sasang,沙 上,부산 사상구 광장로 108(괘법동)
131,산성,Sanseong,山 城,전북 남원시 내척동 294-11
132,삼랑진,Samnangjin,三浪津,경남 밀양시 삼랑진읍 천태로 72
133,삼례,Samnye,參 禮,전북 완주군 삼례읍 후정리 283-1
134,삼릉,Samneung,三 陵,경기도 고양시 덕양구 원당동 
135,삼산,Samsan,三山,경기도 양평군 양동면 삼산역길 193
136,삼성,Samseong,三 省,경북 경산시 남천면 삼성역길 64-23
137,삼척해변,Samcheok haebyeon,三 陟 海 邊,강원도 삼척시 수로부인길 542
138,삼탄,Samtan,三 灘,충북 충주시 산척면 명서리 500
139,상동,Sangdong,上 東,경남 밀양시 상동면 금산 7길-4
140,상주,Sangju,尙 州,경북 상주시 남문1길 24
141,서경주,Seogyeongju,西慶州,경북 경주시 현곡면 용담로 198-5
142,서광주,Seogwangju,西光州,광주 서구 매월동 산 186-5
143,서대전,Seodaejeon,西大田,대전 중구 오류동 74
144,서도,Seodo,書 道,전북 남원시 사매면 서도리 138-3
