SBWY_STN_CD, SBWY_STN_NM, SBWY_LN_CD, SBWY_LN_NM, AGGR_YMDHMS
010000,서울,101,경부선,20191001000000
010017,남영,101,경부선,20191001000000
010032,용산,101,경부선,20191001000000
010058,노량진,101,경부선,20191001000000
010073,대방,101,경부선,20191001000000
010091,영등포,101,경부선,20191001000000
010106,신도림,101,경부선,20191001000000
010081,신길,101,경부선,20191001000000
010117,구로,101,경부선,20191001000000
010141,가산디지털단지,101,경부선,20191001000000
010173,금천구청,101,경부선,20191001000000
010196,석수,101,경부선,20191001000000
010215,관악,101,경부선,20191001000000
010239,안양,101,경부선,20191001000000
010261,명학,101,경부선,20191001000000
010275,금정,101,경부선,20191001000000
010297,군포,101,경부선,20191001000000
010339,의왕,101,경부선,20191001000000
010368,성균관대,101,경부선,20191001000000
010394,화서,101,경부선,20191001000000
010415,수원,101,경부선,20191001000000
010161,독산,101,경부선,20191001000000
010444,세류,101,경부선,20191001000000
010487,병점,101,경부선,20191001000000
010511,세마,101,경부선,20191001000000
010538,오산대,101,경부선,20191001000000
010570,오산,101,경부선,20191001000000
010605,진위,101,경부선,20191001000000
010648,송탄,101,경부선,20191001000000
010670,서정리,101,경부선,20191001000000
010713,지제,101,경부선,20191001000000
010754,평택,101,경부선,20191001000000
010313,당정,101,경부선,20191001000000
1G0022,서동탄,101,경부선,20191001000000
H10219,광명,101,경부선,20191001000000
010848,성환,101,경부선,20191001000000
010902,직산,101,경부선,20191001000000
010940,두정,101,경부선,20191001000000
010971,천안,101,경부선,20191001000000
020032,중랑,102,중앙선,20191001000000
020040,상봉,102,중앙선,20191001000000
020046,망우,102,중앙선,20191001000000
020063,양원,102,중앙선,20191001000000
020095,구리,102,중앙선,20191001000000
020117,도농,102,중앙선,20191001000000
020149,양정,102,중앙선,20191001000000
020178,덕소,102,중앙선,20191001000000
020187,도심,102,중앙선,20191001000000
020243,팔당,102,중앙선,20191001000000
020293,운길산,102,중앙선,20191001000000
020346,양수,102,중앙선,20191001000000
020393,신원,102,중앙선,20191001000000
020430,국수,102,중앙선,20191001000000
020471,아신,102,중앙선,20191001000000
020457,오빈,102,중앙선,20191001000000
020524,양평,102,중앙선,20191001000000
020585,원덕,102,중앙선,20191001000000
020641,용문,102,중앙선,20191001000000
020677,지평,102,중앙선,20191001000000
060050,개봉,106,경인선,20191001000000
060063,오류동,106,경인선,20191001000000
060095,역곡,106,경인선,20191001000000
060121,부천,106,경인선,20191001000000
060148,송내,106,경인선,20191001000000
060175,부평,106,경인선,20191001000000
060189,백운,106,경인선,20191001000000
060207,동암,106,경인선,20191001000000
060231,주안,106,경인선,20191001000000
060251,제물포,106,경인선,20191001000000
060277,동인천,106,경인선,20191001000000
060296,인천,106,경인선,20191001000000
060040,구일,106,경인선,20191001000000
060110,소사,106,경인선,20191001000000
060160,부개,106,경인선,20191001000000
060219,간석,106,경인선,20191001000000
060265,도원,106,경인선,20191001000000
060085,온수,106,경인선,20191001000000
060138,중동,106,경인선,20191001000000
060241,도화,106,경인선,20191001000000
100021,달월,107,수인선,20191001000000
100036,월곶,107,수인선,20191001000000
100049,소래포구,107,수인선,20191001000000
100059,인천논현,107,수인선,20191001000000
100072,호구포,107,수인선,20191001000000
100085,남동인더스파크,107,수인선,20191001000000
100095,원인재,107,수인선,20191001000000
100104,연수,107,수인선,20191001000000
100131,송도,107,수인선,20191001000000
100155,인하대,107,수인선,20191001000000
100173,숭의,107,수인선,20191001000000
100188,신포,107,수인선,20191001000000
060296,인천(수인),107,수인선,20191001000000
080013,봉명,108,장항선,20191001000000
080029,쌍용(나사렛대),108,장항선,20191001000000
080045,아산,108,장항선,20191001000000
080092,배방,108,장항선,20191001000000
080147,온양온천,108,장항선,20191001000000
080216,신창(순천향대),108,장항선,20191001000000
010000,서울(경의선),111,경의선,20191001000000
110031,신촌,111,경의선,20191001000000
120018,효창공원앞,111,경의선,20191001000000
120025,공덕(경의선),111,경의선,20191001000000
120044,서강대,111,경의선,20191001000000
120053,홍대입구(경의선),111,경의선,20191001000000
110058,가좌,111,경의선,20191001000000
110075,디엠시,111,경의선,20191001000000
110082,수색,111,경의선,20191001000000
110116,화전,111,경의선,20191001000000
110140,강매,111,경의선,20191001000000
110147,행신,111,경의선,20191001000000
