RUN_DT, MRNT_CD, STLB_TRN_CLSF_CD, SPL_SEAT_SUM_NUM, ABRD_PRNB, SEAT_DST, ABRD_SLJN_DST, AGGR_YMDHMS
20191001,08,01,4280,3769,10605840,3306059,20191001000000
20191001,01,02,26004,54383,94903428,41213021,20191001000000
20191001,08,02,7720,12528,20379072,9060515,20191001000000
20191001,04,08,1504,1431,6417568,1676545,20191001000000
20191001,00,* ,0,162,0,80517,20191001000000
20191001,01,07,2250,3145,9207465,7409485,20191001000000
20191001,03,02,12654,10122,31481628,8733170,20191001000000
20191001,02,02,5008,6257,13754472,5657007,20191001000000
20191001,88,07,4500,5600,18127830,12452775,20191001000000
20191001,03,07,11225,10544,36850568,21696492,20191001000000
20191001,C1,98,2528,920,0,0,20191001000000
20191001,01,08,7520,10651,33934752,11213461,20191001000000
20191001,04,02,9592,13076,38823568,11891611,20191001000000
20191001,04,07,6000,6338,23540790,15026503,20191001000000
20191001,04,00,11460,8275,45916229,18453748,20191001000000
20191001,03,08,4512,4143,16891424,4053479,20191001000000
20191001,01,10,2460,2905,10195562,7006398,20191001000000
20191001,88,02,3996,3677,6420190,2379473,20191001000000
20191001,01,01,398,111,1583244,145870,20191001000000
20191001,88,00,11460,9067,48208945,21399979,20191001000000
20191001,N1,10,14760,8865,32837184,14373983,20191001000000
20191001,30,02,1416,451,1631232,225996,20191001000000
20191001,8B,07,8250,9351,30215766,18179642,20191001000000
20191001,01,04,1578,2675,2526904,1466573,20191001000000
20191001,03,04,1052,2273,3746172,1968355,20191001000000
20191001,05,02,4328,5904,9430104,2851989,20191001000000
20191001,65,02,3312,4603,11539008,4636272,20191001000000
20191001,02,08,1504,423,3113280,451048,20191001000000
20191001,8B,02,2254,336,870044,105293,20191001000000
20191001,60,02,1600,1347,6211040,1099051,20191001000000
20191001,03,10,1230,649,1986848,540801,20191001000000
20191001,03,00,22920,12056,80226677,27538506,20191001000000
20191001,75,02,6500,7932,11718250,3875569,20191001000000
20191001,05,04,1052,581,1673732,395982,20191001000000
20191001,8B,00,5730,3502,21091223,7210637,20191001000000
20191001,60,01,1220,122,565748,33082,20191001000000
20191001,01,00,88687,69683,357123691,165447054,20191001000000
20191001,83,02,1288,787,1458016,306554,20191001000000
20191001,14,09,12348,13572,13649440,8224147,20191001000000
20191002,88,07,4570,6592,18393745,15021071,20191002000000
20191002,02,02,6004,8587,15353052,8931087,20191002000000
20191002,01,04,1578,3195,2526904,1953896,20191002000000
20191002,04,01,774,636,2937374,1410194,20191002000000
20191002,01,07,2250,3733,9207465,8663829,20191002000000
20191002,04,08,1504,1929,6417568,2661252,20191002000000
20191002,8B,00,5730,5449,21091223,11382149,20191002000000
20191002,01,01,398,181,1583244,234538,20191002000000
20191002,88,00,11460,12613,48208945,30429517,20191002000000
20191002,8B,02,2254,370,870044,118808,20191002000000
20191002,03,08,4512,5954,16891424,6883835,20191002000000
20191002,00,* ,0,162,0,80517,20191002000000
20191002,01,08,7520,14110,33934752,17739249,20191002000000
20191002,05,02,4328,7658,9430104,4407596,20191002000000
20191002,03,04,1052,2844,3746172,2468906,20191002000000
20191002,03,10,1230,1140,2043584,1213531,20191002000000
20191002,60,01,1536,219,746974,60663,20191002000000
20191002,08,02,7720,15102,20379072,11480809,20191002000000
20191002,C1,98,2528,1401,0,0,20191002000000
20191002,04,07,6140,7795,24082077,18362156,20191002000000
20191002,88,02,3996,3776,6420190,2324264,20191002000000
20191002,83,02,1288,1000,1458016,387043,20191002000000
20191002,75,02,6500,8926,11718250,4469572,20191002000000
20191002,03,00,22920,19458,80226677,46204697,20191002000000
20191002,88,01,436,114,1120084,110778,20191002000000
20191002,N1,10,14760,12094,32955480,19928622,20191002000000
20191002,02,01,400,209,1012400,366336,20191002000000
20191002,04,02,9592,17123,38823568,17799859,20191002000000
20191002,14,09,12348,14994,14751940,9489517,20191002000000
20191002,01,00,88687,96094,357040211,240552480,20191002000000
20191002,8B,07,8250,11764,30212070,23351881,20191002000000
20191002,03,07,11050,12477,36304366,24527779,20191002000000
20191002,01,10,2460,3275,10195562,8188658,20191002000000
20191002,03,02,13950,12114,35590504,11429052,20191002000000
20191002,05,04,1052,825,1673732,597452,20191002000000
20191002,30,02,1416,633,1631232,321632,20191002000000
20191002,02,08,1504,539,3113280,594326,20191002000000
20191002,11,01,272,3,161024,1776,20191002000000
20191002,01,02,25504,65226,93804928,56190440,20191002000000
20191002,60,02,1596,1620,6197004,1677617,20191002000000
20191002,65,02,3312,5672,11539008,6070569,20191002000000
20191002,04,00,11332,10462,45512837,23527013,20191002000000
20191002,08,01,4788,4857,11864664,4373361,20191002000000
20191003,75,02,6500,3871,11718250,2192693,20191003000000
20191003,02,01,400,156,1012400,251180,20191003000000
20191003,8B,00,5730,4220,21320375,9096428,20191003000000
20191003,01,02,23920,57121,91463920,60719271,20191003000000
20191003,01,04,1578,2558,2526904,2036985,20191003000000
20191003,04,07,6000,6847,24023250,17208893,20191003000000
20191003,04,08,1504,1885,6417568,3035649,20191003000000
20191003,65,02,3312,3237,11539008,3968257,20191003000000
20191003,01,08,8272,15387,37340560,21265954,20191003000000
20191003,88,02,3996,3899,6420190,2819495,20191003000000
20191003,N1,10,15580,11736,34774560,19794840,20191003000000
20191003,05,02,4328,4638,9430104,3678393,20191003000000
20191003,03,07,10980,10501,36950570,23113697,20191003000000
20191003,88,07,4570,4656,18907965,11902435,20191003000000
20191003,02,02,5008,5671,13754472,6213946,20191003000000
20191003,83,02,1288,180,1458016,82301,20191003000000
20191003,03,00,22920,12965,81064220,32505798,20191003000000
20191003,03,04,1052,2445,3746172,2715752,20191003000000
20191003,14,09,18522,16409,18151560,12532700,20191003000000
20191003,C1,98,2528,1516,0,0,20191003000000
20191003,03,08,4512,5962,16891424,7300778,20191003000000
20191003,60,01,1536,102,746974,28254,20191003000000
20191003,02,08,1504,988,3113280,1151135,20191003000000
20191003,03,10,1230,423,1951600,500668,20191003000000
20191003,08,01,4788,5667,11864664,5846308,20191003000000
20191003,04,00,13242,10981,50684524,28244678,20191003000000
20191003,88,00,11460,9508,48518775,24063070,20191003000000
20191003,08,02,7720,13114,20379072,12275161,20191003000000
20191003,01,10,3280,3547,13751810,9851092,20191003000000
20191003,01,07,2625,3545,10953750,9420504,20191003000000
20191003,8B,02,2254,364,870044,125118,20191003000000
20191003,01,01,398,185,1583244,327999,20191003000000
20191003,05,04,1052,748,1673732,589812,20191003000000
20191003,8B,07,8285,8950,30844860,19520866,20191003000000
20191003,03,02,13154,12633,32900852,15569953,20191003000000
20191003,01,00,96327,78605,392493113,217140288,20191003000000
20191003,88,01,436,253,1120084,338546,20191003000000
20191003,60,02,1592,821,6182968,535145,20191003000000
20191003,30,02,1416,607,1631232,326750,20191003000000
20191003,04,02,9592,16848,38823568,20068440,20191003000000
20191003,04,01,1112,387,3511298,768119,20191003000000
20191004,01,02,27330,83641,97320198,75768760,20191004000000
20191004,02,08,1504,875,3113280,920925,20191004000000
20191004,N1,10,19680,17424,43074600,30049862,20191004000000
20191004,01,08,8272,19901,37340560,24303977,20191004000000
20191004,02,02,5008,8676,13754472,7925177,20191004000000
20191004,88,01,436,418,1120084,511555,20191004000000
20191004,88,02,3996,6221,6420190,4031067,20191004000000
20191004,03,02,13510,16594,35358760,17678477,20191004000000
20191004,30,02,1416,1072,1631232,591605,20191004000000
20191004,11,01,272,1,161024,560,20191004000000
20191004,01,01,398,393,1583244,620868,20191004000000
20191004,04,08,1504,2442,6417568,3671149,20191004000000
20191004,8B,07,6785,10275,24786491,20615367,20191004000000
20191004,08,01,4788,6667,11864664,6502238,20191004000000
20191004,8B,02,2254,585,870044,189224,20191004000000
20191004,05,02,4328,9169,9430104,5531136,20191004000000
20191004,8B,00,7640,6645,28209719,13970928,20191004000000
20191004,04,00,13242,14316,50810112,32783354,20191004000000
20191004,02,01,1076,747,2606408,1622076,20191004000000
20191004,08,02,7720,17899,20379072,14416024,20191004000000
20191004,05,04,1052,1542,1673732,1066937,20191004000000
20191004,03,07,10535,12074,36680885,24569984,20191004000000
20191004,88,00,11460,11332,48272145,27439570,20191004000000
20191004,04,07,6410,8957,25072337,20760138,20191004000000
20191004,01,04,1578,3602,2526904,2368309,20191004000000
20191004,60,02,1856,2487,7491880,2546437,20191004000000
20191004,C1,98,2528,1036,0,0,20191004000000
20191004,65,02,3312,6710,11539008,7071421,20191004000000
20191004,03,04,1052,3373,3746172,2954721,20191004000000
20191004,14,09,12348,19646,19039440,13113780,20191004000000
20191004,03,00,28522,22047,92837015,51318659,20191004000000
20191004,04,02,9592,23619,38823568,25766057,20191004000000
20191004,00,* ,0,472,0,210751,20191004000000
20191004,88,07,6750,9547,27633034,21632122,20191004000000
20191004,01,00,108870,113324,442042830,287722834,20191004000000
20191004,04,01,436,598,1874364,1086564,20191004000000
20191004,60,01,1536,550,746974,149240,20191004000000
20191004,83,02,1674,380,1864088,96875,20191004000000
20191004,75,02,6500,8212,11718250,4226340,20191004000000
20191004,01,07,3070,4558,12606158,10717646,20191004000000
20191004,8B,10,820,349,2971584,740000,20191004000000
20191004,03,08,4512,7073,16891424,8627749,20191004000000
20191004,88,10,820,1245,3572172,3002215,20191004000000
20191005,01,01,1074,467,3535194,668915,20191005000000
20191005,11,01,272,0,161024,0,20191005000000
20191005,01,07,3750,5791,15592125,14418402,20191005000000
20191005,75,02,6500,9199,11718250,5236721,20191005000000
20191005,05,02,4328,6303,9430104,4554671,20191005000000
20191005,05,04,1052,1235,1673732,947040,20191005000000
20191005,14,09,20580,25733,20168400,19610371,20191005000000
20191005,8B,10,820,651,3030720,1466749,20191005000000
20191005,88,07,6820,9520,28534965,22524492,20191005000000
20191005,03,08,4512,9122,16891424,11673484,20191005000000
20191005,04,08,1504,3043,6417568,4928048,20191005000000
20191005,30,02,1802,1179,2584652,851996,20191005000000
20191005,04,01,436,693,1874364,1401576,20191005000000
20191005,8B,07,6890,9705,25699370,21163045,20191005000000
20191005,03,00,28522,25826,92617949,63747969,20191005000000
20191005,88,00,11460,13127,48518775,31339230,20191005000000
20191005,00,* ,0,42,0,9859,20191005000000
20191005,8B,02,2254,605,870044,198278,20191005000000
20191005,03,02,14506,19745,38360704,23939441,20191005000000
20191005,01,08,8272,23873,37340560,30251804,20191005000000
20191005,02,08,1504,1075,3113280,1278496,20191005000000
20191005,60,01,1988,593,986082,170248,20191005000000
20191005,88,01,436,501,1120084,558889,20191005000000
20191005,65,02,3312,7013,11539008,7482029,20191005000000
20191005,08,02,7720,17646,20379072,15800585,20191005000000
20191005,04,02,9842,24458,39646068,28910007,20191005000000
20191005,01,02,24928,81899,94892128,83634172,20191005000000
20191005,01,04,1578,2982,2526904,2213087,20191005000000
20191005,04,00,13242,16756,50709420,39745861,20191005000000
20191005,8B,00,7640,8554,28379735,18518630,20191005000000
20191005,02,02,6016,8997,15382392,9861123,20191005000000
20191005,83,02,1288,160,1458016,58722,20191005000000
