STLB_TRN_CLSF_CD, STLB_TRN_CLSF_CD_NM, TRN_CLSF_CD, AGGR_YMDHMS
00,KTX,00,20191001000000
01,새마을호,01,20191001000000
02,무궁화호,02,20191001000000
03,통근열차,03,20191001000000
04,누리로,02,20191001000000
05,전체열차,05,20191001000000
06,AREX직통,06,20191001000000
07,KTX-산천,00,20191001000000
08,ITX-새마을,01,20191001000000
09,ITX-청춘,09,20191001000000
10,KTX-호남,00,20191001000000
15,ITX-경부,15,20191001000000
17,SRT,17,20191001000000
98,공항리무진,98,20191001000000
* ,기타,* ,20191001000000
Z1,경강,Z1,20191001000000
00,KTX,00,20191002000000
01,새마을호,01,20191002000000
02,무궁화호,02,20191002000000
03,통근열차,03,20191002000000
04,누리로,02,20191002000000
05,전체열차,05,20191002000000
06,AREX직통,06,20191002000000
07,KTX-산천,00,20191002000000
08,ITX-새마을,01,20191002000000
09,ITX-청춘,09,20191002000000
10,KTX-호남,00,20191002000000
15,ITX-경부,15,20191002000000
17,SRT,17,20191002000000
98,공항리무진,98,20191002000000
* ,기타,* ,20191002000000
Z1,경강,Z1,20191002000000
00,KTX,00,20191003000000
01,새마을호,01,20191003000000
02,무궁화호,02,20191003000000
03,통근열차,03,20191003000000
04,누리로,02,20191003000000
05,전체열차,05,20191003000000
06,AREX직통,06,20191003000000
07,KTX-산천,00,20191003000000
08,ITX-새마을,01,20191003000000
09,ITX-청춘,09,20191003000000
10,KTX-호남,00,20191003000000
15,ITX-경부,15,20191003000000
17,SRT,17,20191003000000
98,공항리무진,98,20191003000000
* ,기타,* ,20191003000000
Z1,경강,Z1,20191003000000
00,KTX,00,20191004000000
01,새마을호,01,20191004000000
02,무궁화호,02,20191004000000
03,통근열차,03,20191004000000
04,누리로,02,20191004000000
05,전체열차,05,20191004000000
06,AREX직통,06,20191004000000
07,KTX-산천,00,20191004000000
08,ITX-새마을,01,20191004000000
09,ITX-청춘,09,20191004000000
10,KTX-호남,00,20191004000000
15,ITX-경부,15,20191004000000
17,SRT,17,20191004000000
98,공항리무진,98,20191004000000
* ,기타,* ,20191004000000
Z1,경강,Z1,20191004000000
00,KTX,00,20191005000000
01,새마을호,01,20191005000000
02,무궁화호,02,20191005000000
03,통근열차,03,20191005000000
04,누리로,02,20191005000000
05,전체열차,05,20191005000000
06,AREX직통,06,20191005000000
07,KTX-산천,00,20191005000000
08,ITX-새마을,01,20191005000000
09,ITX-청춘,09,20191005000000
10,KTX-호남,00,20191005000000
15,ITX-경부,15,20191005000000
17,SRT,17,20191005000000
98,공항리무진,98,20191005000000
* ,기타,* ,20191005000000
Z1,경강,Z1,20191005000000
00,KTX,00,20191006000000
01,새마을호,01,20191006000000
02,무궁화호,02,20191006000000
03,통근열차,03,20191006000000
04,누리로,02,20191006000000
05,전체열차,05,20191006000000
06,AREX직통,06,20191006000000
07,KTX-산천,00,20191006000000
08,ITX-새마을,01,20191006000000
09,ITX-청춘,09,20191006000000
10,KTX-호남,00,20191006000000
15,ITX-경부,15,20191006000000
17,SRT,17,20191006000000
98,공항리무진,98,20191006000000
