RUN_DT, STOP_STN, STLB_TRN_CLSF_CD, UP_DN_DV_CD, ABRD_PRNB, GOFF_PRNB, NSTP_PRNB, AGGR_YMDHMS
20191001,3900280,00,D,1148,3021,15849,20191001000000
20191001,3900280,07,D,630,1422,6902,20191001000000
20191001,3900280,10,D,49,127,615,20191001000000
20191001,3900023,07,U,19,4749,378,20191001000000
20191001,3900096,07,U,1332,710,4545,20191001000000
20191001,3900114,07,U,316,0,316,20191001000000
20191001,3900047,00,D,968,124,1819,20191001000000
20191001,3900105,07,U,160,48,1843,20191001000000
20191001,3900099,07,U,23,4,158,20191001000000
20191001,3900105,07,D,21,57,819,20191001000000
20191001,3900099,07,D,10,3,288,20191001000000
20191001,3900683,00,D,0,132,520,20191001000000
20191001,3900685,00,D,1,208,148,20191001000000
20191001,3900902,00,U,980,17,1666,20191001000000
20191001,3900683,00,U,102,0,823,20191001000000
20191001,3901026,07,U,51,43,2259,20191001000000
20191001,3900229,00,U,2269,72,3222,20191001000000
20191001,3900218,00,D,15,253,2657,20191001000000
20191001,3900242,00,D,0,712,0,20191001000000
20191001,3900199,00,D,3,56,384,20191001000000
20191001,3900279,07,D,0,374,0,20191001000000
20191001,3900259,07,U,201,13,1741,20191001000000
20191001,3900263,00,U,35,3,783,20191001000000
20191001,3900388,10,D,1272,4,3435,20191001000000
20191001,3901060,10,D,21,255,1369,20191001000000
20191001,3900114,08,D,0,336,0,20191001000000
20191001,3900047,08,U,665,1296,2456,20191001000000
20191001,3900095,08,U,625,269,1530,20191001000000
20191001,3900109,08,U,48,19,491,20191001000000
20191001,3900689,08,U,2,4,57,20191001000000
20191001,3900699,08,U,59,0,59,20191001000000
20191001,3900902,08,U,77,8,166,20191001000000
20191001,3900130,08,D,7,18,63,20191001000000
20191001,3900242,08,D,0,28,0,20191001000000
20191001,3900206,08,U,20,2,320,20191001000000
20191001,3900224,08,U,56,4,248,20191001000000
20191001,3900235,08,U,7,0,74,20191001000000
20191001,3900199,08,U,55,10,435,20191001000000
20191001,3900206,08,D,2,32,246,20191001000000
20191001,3900061,01,U,111,228,880,20191001000000
20191001,3900211,01,U,86,0,86,20191001000000
20191001,3900334,01,U,84,5,468,20191001000000
20191001,3900338,01,U,237,27,389,20191001000000
20191001,3900075,02,D,104,280,2685,20191001000000
20191001,3900105,02,D,915,371,3782,20191001000000
20191001,3900111,02,D,153,1299,2291,20191001000000
20191001,3900088,02,U,864,1960,3205,20191001000000
20191001,3900107,02,U,111,208,2784,20191001000000
20191001,3900063,02,D,22,62,1304,20191001000000
20191001,3900683,02,D,17,98,807,20191001000000
20191001,3900690,02,D,10,57,524,20191001000000
20191001,3900288,04,D,3,18,143,20191001000000
20191001,3900030,04,U,0,466,583,20191001000000
20191001,3900283,04,U,22,7,285,20191001000000
20191001,3900290,04,U,18,1,231,20191001000000
20191001,3900089,02,D,28,8,269,20191001000000
20191001,3900216,02,D,14,56,834,20191001000000
20191001,3900199,04,D,6,30,259,20191001000000
20191001,3900204,04,D,21,91,184,20191001000000
20191001,3900206,04,D,3,13,174,20191001000000
20191001,3900070,04,U,22,33,351,20191001000000
20191001,3900720,02,U,1,1,77,20191001000000
20191001,3900722,02,U,3,2,94,20191001000000
20191001,3900730,02,U,9,3,82,20191001000000
20191001,3900263,02,D,33,74,731,20191001000000
20191001,3900324,02,U,38,8,2725,20191001000000
20191001,3900328,02,U,438,45,2591,20191001000000
20191001,3900338,02,U,613,106,1113,20191001000000
20191001,3900130,02,D,178,553,2579,20191001000000
20191001,3900132,02,U,213,85,1976,20191001000000
20191001,3900388,02,U,0,2996,0,20191001000000
20191001,3900122,02,U,4,56,601,20191001000000
20191001,3900136,02,D,0,17,692,20191001000000
20191001,3900177,02,D,38,44,298,20191001000000
20191001,3900179,02,D,3,12,185,20191001000000
20191001,3900194,02,U,110,61,726,20191001000000
20191001,3900641,02,U,233,311,1068,20191001000000
20191001,3900581,02,D,43,46,339,20191001000000
20191001,3900608,02,U,53,7,574,20191001000000
20191001,3900567,02,U,6,11,192,20191001000000
20191001,3900552,02,D,20,7,109,20191001000000
20191001,3900559,02,D,1,0,59,20191001000000
20191001,3900563,02,D,20,7,97,20191001000000
20191001,3900565,02,D,25,46,84,20191001000000
20191001,3900290,02,D,13,42,582,20191001000000
20191001,3900073,04,U,0,133,0,20191001000000
20191001,3900288,02,U,77,10,612,20191001000000
20191001,3900320,04,D,11,57,147,20191001000000
20191001,3901065,02,D,1,10,132,20191001000000
20191001,3900651,02,U,7,5,66,20191001000000
20191001,3900516,02,U,21,0,71,20191001000000
20191001,3900387,09,U,2,449,990,20191001000000
20191001,3900437,09,U,1403,0,1403,20191001000000
20191001,3900552,01,D,1,3,15,20191001000000
20191001,3900161,01,U,2,0,12,20191001000000
20191001,3901022,01,U,0,0,57,20191001000000
20191001,0000924,98,D,0,0,218,20191001000000
20191001,3901063,98,D,82,0,82,20191001000000
20191001,3900023,00,D,23346,34,24176,20191001000000
20191001,3900114,00,D,0,9905,0,20191001000000
20191001,3900073,00,U,5475,2161,27620,20191001000000
20191001,3900895,00,U,866,99,5523,20191001000000
20191001,3900073,07,D,548,902,4823,20191001000000
20191001,3900883,07,D,2377,121,10130,20191001000000
20191001,3900114,10,U,434,0,434,20191001000000
20191001,3900111,00,U,489,10,796,20191001000000
20191001,3900883,10,D,181,4,625,20191001000000
20191001,3900902,07,D,15,544,379,20191001000000
20191001,3900685,07,U,225,0,598,20191001000000
20191001,3900685,00,U,140,4,351,20191001000000
20191001,3900211,07,D,354,800,4690,20191001000000
20191001,3901026,00,U,113,11,4111,20191001000000
20191001,3901026,07,D,41,73,2488,20191001000000
20191001,3900195,07,U,399,92,899,20191001000000
20191001,3900204,07,U,111,8,489,20191001000000
20191001,3900224,07,D,1,19,74,20191001000000
20191001,3900224,07,U,18,1,101,20191001000000
20191001,3900248,07,U,685,100,2326,20191001000000
20191001,3900265,00,D,2,40,979,20191001000000
20191001,3900271,00,D,16,784,838,20191001000000
20191001,3900141,10,U,561,101,2789,20191001000000
20191001,3900096,08,D,325,317,822,20191001000000
20191001,3900088,08,U,430,748,1181,20191001000000
20191001,3900066,08,D,82,222,1200,20191001000000
20191001,3900099,08,U,98,48,464,20191001000000
20191001,3900057,08,D,132,396,1664,20191001000000
20191001,3900621,08,D,0,6,24,20191001000000
20191001,3900164,08,D,0,47,0,20191001000000
20191001,3900164,08,U,32,0,32,20191001000000
20191001,3900204,08,D,45,194,620,20191001000000
20191001,3900229,08,D,14,57,56,20191001000000
20191001,3900265,08,U,5,0,139,20191001000000
20191001,3900276,08,U,31,0,67,20191001000000
20191001,3900327,01,U,7,0,222,20191001000000
20191001,3900332,01,U,301,34,735,20191001000000
20191001,3900330,01,U,29,0,286,20191001000000
20191001,3900030,02,D,6291,7,13739,20191001000000
20191001,3900066,02,D,671,1772,7699,20191001000000
20191001,3900107,02,D,197,106,3028,20191001000000
20191001,3900114,02,D,0,1980,0,20191001000000
20191001,3900081,02,U,40,22,666,20191001000000
20191001,3900082,02,U,22,18,612,20191001000000
20191001,3900104,02,U,17,51,952,20191001000000
20191001,3900108,02,U,24,37,1379,20191001000000
20191001,3900057,04,D,71,219,734,20191001000000
20191001,3900282,04,D,22,36,195,20191001000000
20191001,3900057,04,U,253,61,961,20191001000000
20191001,3900211,02,D,733,677,2306,20191001000000
20191001,3900237,02,D,1,9,219,20191001000000
20191001,3900239,02,D,1,18,237,20191001000000
20191001,3900211,02,U,675,644,2167,20191001000000
20191001,3900221,02,U,14,22,570,20191001000000
20191001,3900058,04,D,4,23,176,20191001000000
20191001,3900195,04,D,90,95,283,20191001000000
20191001,3900199,04,U,25,27,320,20191001000000
20191001,3900204,04,U,89,12,322,20191001000000
20191001,3900214,04,U,45,21,201,20191001000000
20191001,3900216,04,U,13,2,177,20191001000000
20191001,3900221,04,U,13,2,104,20191001000000
20191001,3900224,04,U,32,2,93,20191001000000
20191001,3900714,02,U,5,5,53,20191001000000
20191001,3900725,02,U,1,0,96,20191001000000
20191001,3900248,02,D,314,583,1050,20191001000000
20191001,3900279,02,D,0,268,0,20191001000000
20191001,3900322,02,U,284,263,2746,20191001000000
20191001,3900334,02,U,198,22,1294,20191001000000
20191001,3900343,02,U,35,3,548,20191001000000
20191001,3900345,02,U,130,40,516,20191001000000
20191001,3900348,02,U,187,44,373,20191001000000
20191001,3900141,02,D,6,19,652,20191001000000
20191001,3900161,02,D,18,101,439,20191001000000
20191001,3900141,02,U,49,5,1141,20191001000000
20191001,3900172,02,U,453,142,653,20191001000000
20191001,3900184,02,D,0,1,161,20191001000000
20191001,3900637,02,D,61,17,927,20191001000000
20191001,3900647,02,D,451,259,1083,20191001000000
