STN_CD, KOR_STN_NM, AGGR_YMDHMS
0000901,공항,20191001000000
0000902,공항서울,20191001000000
0000903,제주,20191001000000
0000904,장항,20191001000000
0000905,울릉도,20191001000000
0000909,서울,20191001000000
0000911,공덕,20191001000000
0000912,김포공항,20191001000000
0000913,계양,20191001000000
0000914,검암,20191001000000
0000915,운서,20191001000000
0000916,공항화물,20191001000000
0000999,기타,20191001000000
3900000,본사,20191001000000
3900001,서지청,20191001000000
3900002,대지청,20191001000000
3900003,순지청,20191001000000
3900004,영지청,20191001000000
3900005,부지청,20191001000000
3900006,서열소,20191001000000
3900007,량열소,20191001000000
3900008,구로열차소,20191001000000
3900009,대열소,20191001000000
3900010,천안열분,20191001000000
3900011,김천열분,20191001000000
3900012,순열소,20191001000000
3900013,익산열분,20191001000000
3900014,광주열분,20191001000000
3900015,영열소,20191001000000
3900016,제천열분,20191001000000
3900017,안동열주,20191001000000
3900018,동열소,20191001000000
3900019,부열소,20191001000000
3900020,대구열분,20191001000000
3900021,마산열분,20191001000000
3900022,경주열분,20191001000000
3900023,서울,20191001000000
3900024,남영,20191001000000
3900025,용산,20191001000000
3900026,용산경부분,20191001000000
3900027,노량진,20191001000000
3900028,대방,20191001000000
3900029,신길,20191001000000
3900030,영등포,20191001000000
3900031,신도림,20191001000000
3900032,구로,20191001000000
3900033,구로경부분,20191001000000
3900034,가산디지털,20191001000000
3900035,독산,20191001000000
3900036,금천구청,20191001000000
3900037,석수,20191001000000
3900038,관악,20191001000000
3900039,안양,20191001000000
3900040,명학,20191001000000
3900041,금정,20191001000000
3900042,군포,20191001000000
3900043,당정,20191001000000
3900044,의왕,20191001000000
3900045,성균관대,20191001000000
3900046,화서,20191001000000
3900047,수원,20191001000000
3900048,세류,20191001000000
3900049,병점,20191001000000
3900050,세마,20191001000000
3900051,오산대,20191001000000
3900052,오산,20191001000000
3900053,진위,20191001000000
3900054,송탄,20191001000000
3900055,서정리,20191001000000
3900056,지제,20191001000000
3900057,평택,20191001000000
3900058,성환,20191001000000
3900059,직산,20191001000000
3900060,두정,20191001000000
3900061,천안,20191001000000
3900062,소정리,20191001000000
3900063,전의,20191001000000
3900064,전동,20191001000000
3900065,서창,20191001000000
3900066,조치원,20191001000000
3900067,내판,20191001000000
3900068,부강,20191001000000
3900069,매포,20191001000000
3900070,신탄진,20191001000000
3900071,회덕,20191001000000
3900072,대전조차장,20191001000000
3900073,대전,20191001000000
3900074,세천,20191001000000
3900075,옥천,20191001000000
3900076,이원,20191001000000
3900077,지탄,20191001000000
3900078,심천,20191001000000
3900079,각계,20191001000000
3900080,영동,20191001000000
3900081,황간,20191001000000
3900082,추풍령,20191001000000
3900083,신암,20191001000000
3900084,직지사,20191001000000
3900085,김천,20191001000000
3900086,대신,20191001000000
3900087,아포,20191001000000
3900088,구미,20191001000000
3900089,사곡,20191001000000
3900090,약목,20191001000000
3900091,왜관,20191001000000
3900092,연화,20191001000000
3900093,신동,20191001000000
3900094,지천,20191001000000
3900095,대구,20191001000000
3900096,동대구,20191001000000
3900097,고모,20191001000000
3900098,가천,20191001000000
3900099,경산,20191001000000
3900100,삼성,20191001000000
3900101,남성현,20191001000000
3900102,청도,20191001000000
3900103,신거,20191001000000
3900104,상동,20191001000000
3900105,밀양,20191001000000
3900106,미전,20191001000000
3900107,삼랑진,20191001000000
3900108,원동,20191001000000
3900109,물금,20191001000000
3900110,화명,20191001000000
3900111,구포,20191001000000
3900112,사상,20191001000000
3900113,부산진,20191001000000
3900114,부산,20191001000000
3900115,중랑,20191001000000
3900116,망우,20191001000000
3900117,1양원,20191001000000
3900118,동교,20191001000000
3900119,구리,20191001000000
3900120,도농,20191001000000
3900121,1양정,20191001000000
3900122,덕소,20191001000000
3900123,도심,20191001000000
3900124,팔당,20191001000000
3900125,운길산,20191001000000
3900126,양수,20191001000000
3900127,신원,20191001000000
3900128,국수,20191001000000
3900129,아신,20191001000000
3900130,양평,20191001000000
3900131,원덕,20191001000000
3900132,용문,20191001000000
3900133,지평,20191001000000
3900134,석불,20191001000000
3900135,일신,20191001000000
3900136,매곡,20191001000000
3900137,양동,20191001000000
3900138,삼산,20191001000000
3900139,간현,20191001000000
3900141,만종,20191001000000
3900142,원주,20191001000000
3900143,유교,20191001000000
3900144,반곡,20191001000000
3900145,금교,20191001000000
3900146,치악,20191001000000
3900147,창교,20191001000000
3900148,신림,20191001000000
3900149,연교,20191001000000
3900150,구학,20191001000000
3900151,봉양,20191001000000
3900152,제천조차장,20191001000000
3900153,제천,20191001000000
3900154,고명,20191001000000
3900155,삼곡,20191001000000
3900156,도담,20191001000000
3900157,단양,20191001000000
3900158,단성,20191001000000
3900159,죽령,20191001000000
3900160,희방사,20191001000000
3900161,풍기,20191001000000
3900162,안정,20191001000000
3900163,북영주,20191001000000
3900164,영주,20191001000000
3900165,문수,20191001000000
3900166,승문,20191001000000
3900167,평은,20191001000000
3900168,옹천,20191001000000
3900169,마사,20191001000000
3900170,이하,20191001000000
3900171,서지,20191001000000
3900172,안동,20191001000000
3900173,무릉,20191001000000
3900174,운산,20191001000000
3900175,단촌,20191001000000
3900176,업동,20191001000000
3900177,의성,20191001000000
3900178,비봉,20191001000000
3900179,탑리,20191001000000
3900180,우보,20191001000000
3900181,화본,20191001000000
3900182,봉림,20191001000000
3900183,갑현,20191001000000
3900184,신녕,20191001000000
3900185,화산,20191001000000
3900186,북영천,20191001000000
3900187,영천,20191001000000
3900188,송포,20191001000000
3900189,임포,20191001000000
3900190,아화,20191001000000
3900191,건천,20191001000000
3900192,모량,20191001000000
3900193,율동,20191001000000
3900194,서경주,20191001000000
3900195,서대전,20191001000000
3900196,가수원,20191001000000
3900197,흑석리,20191001000000
3900198,원정,20191001000000
3900199,계룡,20191001000000
3900200,신도,20191001000000
3900201,개태사,20191001000000
3900202,연산,20191001000000
