YYMM,서울,용산,영등포,상봉,청량리,부산,구포,동대구,광주송정,대전,서대전,수원,광명,행신,양평,강릉,둔내,진부,평창,횡성,오송,천안아산,논산,계룡,전주,익산,정읍,남원,목포,여수엑스포,여천,순천,나주,곡성,신경주,김천구미,창원,창원중앙,마산,진주,밀양
201701,100.458,100.479,100.476,0,0,100.408,100.486,100.837,101.982,100.338,100.214,100.202,100.296,100.108,0,0,0,0,0,0,100.226,100.198,100.102,100.646,100.46,100.2,100.439,100.051,100.055,100.684,100.658,100.272,100.239,100.408,100,100.305,100.509,100.092,100.656,100.732,100.257
201702,100.697,100.619,100.982,0,0,100.773,100.745,101.279,102.65,100.495,100.427,100.579,100.296,100.124,0,0,0,0,0,0,99.968,100.206,99.852,100.992,100.608,100.241,100.746,100.382,100.07,100.774,101.079,100.378,100.475,100.774,100.013,100.687,100.919,100.142,101.058,101.215,100.392
201703,101.054,100.838,101.193,0,0,101,101.042,102.004,103.688,100.535,100.531,100.835,100.464,100.58,0,0,0,0,0,0,100.988,100.429,100.452,101.099,100.515,100.38,101.155,101,100.089,101.96,101.852,100.813,100.955,101.01,100.384,101.071,101.378,100.216,101.729,101.545,100.549
201704,101.294,101.267,101.545,0,0,101.589,101.54,102.531,104.457,100.712,100.712,101.061,100.62,101.049,0,0,0,0,0,0,101.482,100.571,100.704,101.099,100.389,100.502,101.207,101.208,100.12,102.51,102.562,100.971,101.23,101.123,100.829,101.327,101.532,100.47,102.281,101.545,100.79
201705,101.664,101.769,101.812,0,0,102.117,102.086,102.916,105.384,100.744,101.299,101.649,100.62,101.849,0,0,0,0,0,0,102.83,100.647,100.872,101.295,100.903,100.784,101.368,101.379,100.163,102.894,103.923,101.219,101.517,101.984,101.175,101.62,101.759,100.972,103.277,102.087,101.024
201706,102.115,102.529,102.283,0,0,102.363,102.421,103.591,106.594,100.859,101.683,101.922,100.62,102.559,0,0,0,0,0,0,103.94,100.917,101.107,101.338,101.123,101.144,101.472,101.636,100.226,103.092,104.474,101.47,101.919,102.195,101.973,101.986,102.738,101.222,103.797,102.66,101.612
201707,102.846,103.073,102.876,0,0,103.003,102.863,104.022,107.719,101.435,102.015,102.256,100.924,102.556,0,0,0,0,0,0,105.033,101.601,100.905,101.664,101.334,101.529,102.129,102.096,100.26,103.455,104.537,101.841,102.356,102.549,102.45,102.162,103.024,101.891,104.25,103.106,101.811
201708,103.224,103.723,103.227,0,0,103.497,103.303,104.687,109.021,101.628,102.318,102.455,100.924,102.608,0,0,0,0,0,0,105.194,102.189,100.988,101.898,101.572,101.98,102.434,102.468,100.351,103.668,104.646,102.229,102.84,103.051,102.45,102.384,103.133,102.942,104.635,103.631,102.103
201709,103.562,103.99,103.439,0,0,103.9,103.594,105.291,109.749,101.709,102.598,102.573,100.924,102.827,0,0,0,0,0,0,105.547,102.824,100.951,102.205,101.892,102.358,102.879,102.468,100.453,104.757,105.117,102.578,103.09,103.546,103.209,102.478,104.068,102.942,104.954,103.919,102.394
201710,103.776,104.166,103.656,0,0,104.105,103.916,105.708,110.396,101.485,102.888,102.824,100.908,103.001,0,0,0,0,0,0,105.257,103.405,100.872,102.408,102.087,102.698,103.235,102.608,100.475,105.277,105.315,102.879,103.367,103.585,104.142,102.836,104.331,104.056,105.459,104.184,102.734
201711,103.969,104.443,103.984,0,0,104.52,104.35,106.648,111.104,101.449,103.134,103.249,100.908,103.481,0,0,0,0,0,0,105.792,104.192,101.178,102.939,102.345,103.03,103.588,102.608,100.528,105.465,105.457,103.167,103.515,103.585,104.498,102.937,104.414,104.056,105.693,104.184,103.191
