역명,주소
가수원,대전 서구 가수원동 547-1
가야,부산 부산진구 백양대로 91
각계,충북 영동군 심천면 각계리
감곡,전북 정읍시 감곡면 유정리 196-1
강경,충남 논산시 강경읍 대흥리 32
강릉,강원 강릉시 교2동 118
개운,전남 순천시 서면 구만리450-2
개정,전북 군산시 개정면 아동리 
개태사,충남 논산시 연산면 천호리 304
개포,경북 예천군 개포면 방터길 7-11
거촌,경북 봉화군 봉성면 도장밭길 44-41
건천,경북 경주시 건천읍 내서로 1038-18
경산,경북 경산시 중앙로 1(사정동)
경주,경북 경주시 원화로 266
경화,경남 창원시 진해구 경화대로 649
계룡,충남 논산시 두마면 두계리 136-4
고막원,전남 나주시 다시면 송촌리 산 21-3
고모,대구시 수성구 고모로 208
고사리,강원 삼척시 늑구2길 68(도계읍)
고한,강원도 정선군 고한읍 고한19리 99-1
곡성,전남 곡성군 곡성로 920
공전,충북 제천시 봉양읍 공전3리 428
공주,충청남도 공주시 이인면 신영리 167-1
광곡,보성군 노동면 광곡리 210-2번지
광명,경기도 광명시 광명역로 21
광주,광주 북구 중흥동 611
광주송정,광주 광산구 송정2동 1003-1
광천,충남 홍성군 광천읍 신진리 539
괴목,전남 순천시 황전면 괴목리213-16
구례구,전남 순천시 섬진강로 217
구룡,순천시 별량면 구룡리85
구미,경북 구미시 중앙로 76
구절리,강원도 정선군 북면 구절1리 309-3
구포,부산 북구 구포만세길 82
구학,충북 제천시 봉양읍 구학리 43
군북,경남 함안군 군북면 의산삼일로 1992
군산,전북 군산시 대흥동
극락강,광주직할시 광산구 신가동 212-2번지
금강,대구광역시 동구 금강로 153
금지,전북 남원시 금지면 택내리 81-1
금호,경북 영천시 금호읍 금호역길 40-6
김제,전북 김제시 신풍동 13
김천,경북 김천시 김천로 111
김천(구미),경북 김천시 남면 혁신 1로 51
나전,강원도 정선군 북평면 북평6리 350-1
나주,전남 나주시 송월동 262-2
낙동강,경남 밀양시 삼랑진읍 삼랑진로 119
남성현,경북 청도군 화양읍 다로길 39
남원,전라북도 남원시 교룡로 71
남창,울산 울주군 온양읍 남창역길 40
남창원,경남 창원시 성산구 완암로 1
남평,전남 나주시 남평읍 광촌리 470
남포,충남 보령시 남포면 봉덕리 159-1
내수,충북 청원군 내수읍 내수리 45-1
노령,전북 정읍시 입안면 등천리 165
노안,전남 나주시 노안면 장동리78-1
논산,충남 논산시 반월동 33
능주,전남 화순군 능주면 관영리 230 
다시,전남 나주시 다시면 영동리 421
단성,충북 단양군 단성면 북하리 210
단양,충북 단양군 단양읍 상진리 산1
단촌,경북 의성군 단촌면 장터길 29-6
달천,충북 충주시 이류면 만정리 25
대광리,경기도 연천군 신서면 연신로 1156 
대구,대구 북구 태평로 161
대신,경북 김천시 아포읍 대신길 70-14
대야,전북 군산시 대야면 지경리 699
대전,대전 동구 정동 1
대정,경기 고양시 덕양구 대장동 
대천,충남 보령시 내항동 336-2
덕하,울산 울주군 청량면 덕하로 269-5
도고온천,충남 아산시 도고면 시전리364-2
도라산,경기도 파주시 장당면 노상리 555
동대구,대구 동구 동대구로 550(신암동)
동백산,강원 태백시 동태백로 984
동운,전남 순천시 서면 동산리 483-5
동점,강원 태백시 태백로 2382
동화,강원도 원주시 문막읍 보통로 221
득량,전남 보성군 역전길 28
마사,경북 안동시 북후면 산약길 476-17
마산,경남 창원시 마산회원구 마산역광장로 18
마차리,강원 삼척시 신기면 마차길 3
망상,강원 동해시 동해대로6180(망상동)
매곡,경기도 양평군 양동면 매월길 257
명봉,전남 보성군 노동면 명봉리93
모량,경북 경주시 건천읍 내서로 1424-21
모화,경북 경주시 외동읍 산업로 1882
목포,전남 목포시 호남동 1-1
목행,충북 충주시 목행동 170
몽탄,전남 무안군 몽탄면 사천리 34 
무안,전남 무안군 몽탄면 사창리 658
묵호,강원 동해시 해안로 520
문경,경북 문경시 하2리 291 
문곡,강원 태백시 상장로 61(황지동)
물금,경남 양산시 물금읍 황산로 347
미로,강원 삼척시 미로면 강원남부로3990
민둥산,강원도 정선군 남면 무릉4리 617-2
밀양,경남 밀양시 중앙로 62
반곡,강원 원주시 반곡동 154
반성,경남 진주시 일반성면 일사로 787
백마고지,강원도 철원군 철원읍 평화로 3591
백산,강원 태백시 동태백로 840
백양사,전남 장성군 북이면 사거리 587-1
백원,경북 상주시 사벌면 북상주로 620
벌교,전남 보성군 채동선로 228
법전,경북 봉화군 법전면 파인토피아로 2434
벽제,경기 고양시 대자동 산139
별어곡,강원 정선군 남면 문곡리 107
보성,전남 보성군 현충로 90
보천,충북 음성군 원남면 마송리 717
봉덕,순천시 황전면 봉덕리 55-2
