STN_NM,LAT,LNG
광운대,37.6238375,127.0616772
노량진,37.514118,126.9416954
상봉,37.5967015,127.0857411
서울,37.55407301,126.9707021
수서,37.4855438,127.1043773
신도림,37.5090257,126.8915809
영등포,37.51524119,126.9071024
옥수,37.5404197,127.0185396
왕십리,37.5614966,127.0385561
용산,37.529634,126.9634899
청량리,37.581387,127.048979
검암,37.56912621,126.6736408
인천국제공항,37.4468713,126.4515077
가수원,36.2995,127.356475
대전,36.33225228,127.4341646
서대전,36.32257549,127.4036881
신탄진,36.4500118,127.4279589
금강,35.862615,128.737163
대구,35.8760827,128.5960312
동대구,35.87943657,128.6287844
광주송정,35.137757,126.79095
광주,35.16532557,126.9092274
극락강,35.175968,126.829975
서광주,35.125299,126.8471
효천,35.102924,126.877563
남창,35.41748,129.2832001
덕하,35.4949285,129.3051834
울산,35.55143098,129.1385063
태화강,35.539408,129.353788
호계,35.6222224,129.3543377
구포,35.20539396,128.9970712
기장,35.2439357,129.2185373
부산,35.11518698,129.0416007
부전,35.1648098,129.0598576
사상,35.162599,128.9887
센텀,35.1788219,129.1248783
신해운대,35.1819261,129.1767543
월내,35.3262467,129.2754659
좌천,35.3113064,129.2438317
화명,35.23451,129.007625
부강,36.5321599,127.3654253
전의,36.6784909,127.2031744
조치원,36.6010353,127.2958817
가평,37.814518,127.510715
광명,37.41638888,126.8847391
대광리,38.1848311,127.1081152
덕소,37.5871258,127.2084664
도라산,37.8992827,126.7075884
동두천,37.9266696,127.0550171
동탄,37.2003495,127.095771
마석,37.652799,127.311703
매곡,37.4364966,127.7306436
문산,37.854644,126.787506
사릉,37.6515252,127.176933
삼산,37.3927022,127.7799931
서정리,37.0570365,127.0533225
석불,37.4602059,127.6548322
소요산,37.9480965,127.0611561
수원,37.26604467,126.9997956
신망리,38.1325964,127.0783335
신탄리,38.2127695,127.1389988
안양,37.4030571,126.9217888
양동,37.4202909,127.7545491
양평,37.4926631,127.4914915
연천,38.1016547,127.0739342
오산,37.1458145,127.0671371
용문,37.4824667,127.5944918
운천,37.8799716,126.7700629
원덕,37.4689969,127.5484826
일신,37.4454594,127.6883584
임진강,37.888523,126.7469459
전곡,38.0245525,127.0713779
지제,37.0187992,127.0698638
지평,37.4768503,127.6296302
청평,37.735488,127.426562
초성리,37.9813227,127.068445
퇴계원,37.6482373,127.1444048
평내호평,37.6532333,127.2444345
평택,36.9909191,127.0846944
한탄강,38.0069232,127.0653504
행신,37.6121251,126.8340328
강촌,37.805729,127.634081
고한,37.2008496,128.8529887
나전,37.4498242,128.6683114
남춘천,37.864071,127.723784
도계,37.2292911,129.0438196
동백산,37.1548927,129.034542
동해,37.4981764,129.1238162
동화,37.3420762,127.8594846
망상,37.5873071,129.0974375
묵호,37.5467167,129.10775
민둥산,37.2437005,128.7736575
반곡,37.3229727,127.9943475
백마고지,38.2575292,127.1659159
백산,37.1385351,129.0335609
별어곡,37.2692881,128.7397725
사북,37.2262288,128.8169914
선평,37.3218054,128.7126735
신기,37.3459154,129.085
신림,37.2176433,128.0914031
쌍룡,37.1747015,128.3285148
아우라지,37.4728507,128.7220739
영월,37.1824283,128.4807624
예미,37.2124107,128.6481955
원주,37.357065,127.94485
자미원,37.2367007,128.7336616
정동진,37.6914429,129.0326875
정선,37.3880229,128.6720254
철암,37.1129792,129.0365239
춘천,37.88439,127.716626
태백,37.1761388,128.984152
강경,36.1542423,127.015594
계룡,36.27301324,127.2652865
공주,36.33241438,127.0967703
광천,36.5018427,126.62256
논산,36.20728509,127.0924535
대천,36.34164,126.586688
도고온천,36.7494908,126.8895919
삽교,36.6802988,126.7516469
서천,36.0821499,126.7081189
성환,36.9166823,127.126942
신례원,36.726251,126.847413
신창,36.7692218,126.950127
아산,36.7932396,127.1047083
연산,36.212285,127.200813
예산,36.6867258,126.8288869
온양온천,36.7804288,127.003849
웅천,36.234325,126.6018815
장항,36.0400093,126.7149396
천안아산,36.79435991,127.1044355
천안,36.8090948,127.1465677
청소,36.4459414,126.5907895
판교,36.1553336,126.679534
홍성,36.5994172,126.680726
각계,36.2082399,127.7254123
단양,36.9732421,128.3436192
달천,36.9607852,127.8799265
봉양,37.130307,128.129838
삼탄,37.0730811,128.0385705
심천,36.2376858,127.720287
영동,36.172085,127.786213
오근장,36.6996617,127.478079
오송,36.62009812,127.3275824
옥천,36.2980581,127.5655876
음성,36.9260283,127.7039069
이원,36.244193,127.618
제천,37.12804,128.205312
주덕,36.9733737,127.8023336
증평,36.7781092,127.5831852
지탄,36.2418633,127.675856
청주공항,36.7217375,127.4896072
청주,36.64709,127.39235
추풍령,36.213326,127.9963
충주,36.975892,127.9091358
황간,36.224568,127.911263
고막원,35.0247194,126.6081114
곡성,35.28360744,127.3037315
광곡,34.796454,127.0730358
광양,34.9564895,127.5875555
괴목,35.0953909,127.4267825
구례구,35.16347539,127.4526307
나주,35.01426069,126.7169943
남평,35.0569112,126.8717233
노안,35.066491,126.7430102
능주,34.9866555,126.9640163
다시,35.016696,126.6410335
덕양,34.8123121,127.6273786
득량,34.7614686,127.1701525
명봉,34.827792,127.0755
목포,34.79112661,126.3865672
몽탄,34.9298304,126.5032112
무안,34.9627012,126.5169591
백양사,35.4313924,126.8081199
벌교,34.8420321,127.3453
보성,34.7669997,127.0816357
순천,34.94576226,127.5031854
여수EXPO,34.75306867,127.7489827
여천,34.77921314,127.6641786
예당,34.7786169,127.2022866
이양,34.891584,126.9897537
일로,34.8484043,126.4777155
임성리,34.8207151,126.4349952
장성,35.3,126.780175
조성,34.806767,127.248013
진상,35.0151394,127.7194556
함평,35.0239267,126.539068
화순,35.0515583,126.9617
군산,35.9992861,126.7597766
김제,35.79244795,126.9028903
남원,35.41127601,127.3614016
대야,35.9435558,126.810944
삼례,35.9043361,127.0662744
신리,35.7730749,127.206526
신태인,35.6879962,126.8844436
오수,35.542917,127.320538
익산,35.94049604,126.945758
임실,35.6329089,127.289894
전주,35.84984035,127.1618183
정읍,35.5755323,126.8423939
천원,35.5256798,126.8186415
함열,36.0802398,126.956989
군북,35.2521059,128.3519399
낙동강,35.3893491,128.8317805
마산,35.23610354,128.5771588
물금,35.30715,128.985288
밀양,35.47449663,128.7712081
반성,35.174855,128.2581234
북천,35.1113831,127.8835006
삼랑진,35.3994234,128.8431292
상동,35.5555936,128.7607575
완사,35.1343304,127.9774173
원동,35.3629281,128.9205104
중리,35.249601,128.51885
진례,35.266589,128.763197
진영,35.29862724,128.773945
진주,35.15070681,128.1179095
창원,35.2573648,128.6067776
창원중앙,35.24232326,128.7013406
하동,35.0639004,127.761835
한림정,35.323268,128.803582
함안,35.2493124,128.4248174
횡천,35.0993202,127.8016262
개포,36.626907,128.328625
건천,35.8541478,129.0972801
경산,35.819266,128.7277013
경주,35.8444259,129.2178816
구미,36.128265,128.330825
김천구미,36.11343908,128.1810175
김천,36.1234229,128.1146402
나원,35.8859305,129.2154681
남성현,35.704693,128.716312
봉화,36.8915342,128.7269225
북영천,35.9717861,128.9138827
분천,36.9325196,129.0584147
불국사,35.7764445,129.2968011
사곡,36.0981379,128.356368
상주,36.410415,128.163762
서경주,35.8687734,129.201195
석포,37.0452627,129.0611111
승부,36.9936534,129.083798
신경주,35.79842258,129.1388781
신녕,36.0339708,128.7911288
신동,35.955726,128.486075
아포,36.1586224,128.2574257
안강,35.9893193,129.2309443
안동,36.5627801,128.7329231
약목,36.0372791,128.3641065
양원,36.963195,129.0911391
영주,36.8110573,128.6249471
영천,35.959493,128.939275
예천,36.647765,128.444337
옥산,36.2828948,128.0943752
옹천,36.6854425,128.7034933
왜관,35.99226,128.399975
용궁,36.606924,128.2734
의성,36.3538554,128.6934914
임기,36.9036716,128.9993462
점촌,36.5955003,128.203381
청도,35.6400761,128.746494
청리,36.3391296,128.1288828
춘양,36.9378096,128.9199375
탑리,36.2598005,128.6826826
포항,36.07165248,129.3419658
풍기,36.8738484,128.524418
하양,35.909707,128.81795
함창,36.569658,128.174862
현동,36.9367515,129.0120815
화본,36.126925,128.6949102
효자,36.0076846,129.3325036
희방사,36.8945039,128.4649724
