KTX역,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19
서울 서울역,96.299,96.314,96.283,96.337,96.437,96.53,96.588,96.702,96.784,96.95,97.108,97.244,97.453,97.53,97.725,97.967,98.069,98.181,98.473,98.672,98.92,99.229,99.487,99.707,100,100.329,100.458,100.697,101.054,101.294,101.664,102.115,102.846,103.224,103.562,103.776,103.969,104.366,105.043,105.721,106.408,106.732,107.122,107.578,108.311,108.993,109.564,110.222,110.771,111.155,111.335,111.662,111.984,112.359,112.576,112.868,113.425
서울 용산역,96.815,96.811,96.8,96.851,96.937,96.959,97.087,97.107,97.223,97.324,97.415,97.58,97.703,97.828,97.934,97.959,98.082,98.307,98.556,98.747,99.075,99.304,99.529,99.708,100,100.324,100.479,100.619,100.838,101.267,101.769,102.529,103.073,103.723,103.99,104.166,104.443,104.879,105.719,106.45,106.793,107.23,107.49,108.051,109.109,109.751,110.453,111.071,111.596,112.084,112.337,112.88,113.197,113.554,114.049,114.45,115.081
서울 영등포역,95.56,95.707,95.815,95.969,96.349,96.564,96.947,97.086,97.295,97.483,97.705,97.787,98.131,98.185,98.237,98.32,98.493,98.744,98.887,99.021,99.228,99.341,99.675,99.782,100,100.234,100.476,100.982,101.193,101.545,101.812,102.283,102.876,103.227,103.439,103.656,103.984,104.251,104.636,104.913,105.442,105.926,106.214,106.619,107.038,108.12,108.9,109.555,110.353,111.147,111.819,112.665,113.226,113.539,113.938,114.909,114.753
서울 상봉역,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,104.168,104.387,104.737,105.032,105.434,105.822,106.191,106.568,106.97,107.424,107.837,108.517,108.938,109.171,109.545,109.827,110.225,110.534,111.014
서울 청량리역,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,104.319,104.632,105.037,105.335,105.79,106.232,106.882,107.37,108.298,109.101,110.258,110.674,111.11,111.364,111.783,112.488,113.144,113.568,114.079
부산 부산역,93.942,94.227,94.718,94.717,94.829,95.145,95.381,95.548,95.773,95.955,96.085,96.474,96.709,97.078,97.188,97.384,97.605,97.946,98.076,98.394,98.817,99.223,99.48,99.793,100,100.233,100.408,100.773,101,101.589,102.117,102.363,103.003,103.497,103.9,104.105,104.52,105.151,105.607,105.946,106.393,106.743,107.53,107.915,108.366,108.829,109.236,109.965,110.252,110.578,110.989,111.332,111.714,112.097,112.338,112.467,112.812
부산 구포역,94.963,95.29,95.423,95.517,95.673,95.82,95.911,96.117,96.332,96.674,96.952,97.049,97.333,97.534,97.722,98.027,98.524,98.637,98.706,98.954,98.894,99.146,99.353,99.651,100,100.234,100.486,100.745,101.042,101.54,102.086,102.421,102.863,103.303,103.594,103.916,104.35,104.681,104.956,105.16,105.605,106.184,106.511,106.896,107.382,107.878,108.511,108.934,109.119,109.684,109.815,110.137,110.466,111.131,111.471,111.59,111.917
대구 동대구역,90.816,91.264,91.718,91.946,92.505,93.077,93.412,93.702,93.878,94.202,94.575,94.852,95.284,95.69,95.997,96.455,96.71,97.149,97.661,97.969,98.272,98.722,99.22,99.43,100,100.443,100.837,101.279,102.004,102.531,102.916,103.591,104.022,104.687,105.291,105.708,106.648,107.203,107.869,108.174,109.137,109.964,110.701,111.38,112.395,112.788,113.766,114.58,115.638,116.391,117.136,117.734,118.476,119.322,120.268,121.304,121.989
광주 광주송정역,89.56,89.77,89.822,90.07,90.773,91.012,91.336,91.346,92.042,92.333,92.473,92.678,93.04,93.365,93.803,94.24,95.012,95.256,95.53,96.545,97.299,98.033,98.546,98.676,100,100.99,101.982,102.65,103.688,104.457,105.384,106.594,107.719,109.021,109.749,110.396,111.104,111.683,112.299,112.951,113.893,114.337,114.983,115.24,115.584,116.171,117.581,118.788,119.879,120.661,120.937,121.614,122.504,123.782,124.58,124.988,125.825
대전 대전역,97.867,97.886,97.951,97.951,97.945,98.032,98.169,98.118,98.01,98.05,97.998,97.999,98.121,98.51,98.573,98.677,98.865,99.006,99.296,99.557,99.664,99.761,99.871,99.987,100,100.083,100.338,100.495,100.535,100.712,100.744,100.859,101.435,101.628,101.709,101.485,101.449,102.3,102.288,102.457,102.669,102.804,103.064,103.192,103.404,103.771,104.083,104.15,104.319,104.613,104.661,104.823,105.276,105.509,105.678,105.804,106.123
